num,year,date,time_local,event_name,magnitude,location,eql_type,proposed_mechanism,article_section,figures,country
1,1854,1854,,Ansei Tokai earthquake,,Tokai region,Soundless thunder-like noise; flashes on clear sky,Pre-seismic atmospheric discharge,Section 6,,Japan
2,1828,1828,,Echigo-Sanjo earthquake,,Niigata (gas-field region),Methane flames; conflagration,Spontaneous electrostatic ignition of methane,Section 8,,Japan
3,1847,1847-05-08,~22:00,Zenkoji earthquake,M7.4,"Central Japan; Mt. Iwakura (biotite rhyolite / hydrocarbon-bearing tuff breccia); northern Nagano","Landslide lights (village lit as if daylight); methane fire pillars / swirling flames from ground",Frictional heat + degassing of CH4/H2S; fracto-emission from biotite,"Sections 7, 8","Fig. 11, 12b, 13b",Japan
4,1855,1855,,Ansei Edo earthquake,,Edo (Tokyo),Ground splitting + whitish ray of light; methane flames; conflagration,Methane gush + electrostatic ignition,Section 8,Fig. 13a,Japan
5,1896,1896-06-15,19:32,Meiji-Sanriku tsunami earthquake,M8.2-8.5,"Sanriku coast, Pacific off Tohoku","Glowing tsunami (blue / white / bluish-white crests); offshore fire pillar pre-quake; sound like continuous gunfire","Blanchard effect: charged mists from bursting CH4 bubbles ignite methane; possible MH dissociation offshore","Sections 9, 10",Fig. 15,Japan
6,1909,1909,,Kono (Anegawa) earthquake,,"East of Shiga, Mt. Ibuki (limestone)",Reddish landslide light (mistaken for eruption),"Frictional thermoluminescence of limestone (~200-250 C, orange)",Section 7,Fig. 12d,Japan
7,1792,1792,,Unzen / Mayu-yama collapse (volcanic-earthquake-triggered),,"Shimabara, Kyushu; pyroclastic dome Mayu-yama","Landslide lights fires more severe than lightning; seawater whole fires offshore",Degassing & combustion of stored CH4 & H2S from pyroclastic rock under impact frictional heat,Section 7,"Fig. 11a, 11b, 12c",Japan
8,1923,1923-09-01,,Great Kanto earthquake,M7.9,Kanto region,"Fierce, soundless lightning over Tokyo the night before",Pre-seismic atmospheric discharge,"Sections 6, 13",,Japan
9,1930,1930-11-26,04:02-04:03,North Izu / Kita-Izu earthquake,M7.3,Izu peninsula,Red sky in the direction of the epicenter (SW from Hakone); rainbow phenomenon observed 313 km NW one day prior (Mukuhira's prediction),Enhanced 630 nm airglow from stagnant MSTID above epicenter; rainbow possibly electro-optic,"Sections 11, 12","Fig. 18a, 18b",Japan
10,1930,1930-12-20,23:02,Hiroshima-North earthquake,,Hiroshima,"Phosphorescent fire-colored, upside-down broomstick rising from mountain edge; clouds tinted fire-color",Plasma-state radon-induced tornado-like cloud (nocturnal analogue of the Kobe event),Section 3,,Japan
11,1933,1933-03-03,02:30,Showa-Sanriku tsunami earthquake,M8.1,Sanriku coast,Glowing tsunami: pure white / pale blue crest in straight line; seawater boiling and glowing blue; bay entrance with hazy blue-red glow,Charged mists from CH4 bubble bursts -> electrostatic ignition,Section 9,,Japan
12,1944,1944-12-07,13:54,Showa-Tonankai earthquake,M7.9,SW Japan; eyewitness in Shimizu (273 km NE of epicenter),Solar spectrum in thin clouds 1-2 h before quake,Possible electro-optic effect from ionospheric TEC enhancement,"Sections 12, 13",,Japan
13,1946,1946-12-01,04:19,Showa-Nankai earthquake,M8.0,"Pacific coast, SW Japan; two offshore sea-cliff landslides off Shirahama & Susami",Two offshore fire pillars; sea surface concave like a dish beneath the pillars before quake,Explosive MH dissociation at base of 1100 m cliff -> methane bubble rise + Blanchard charging + ignition,Section 10,"Fig. 16, 17",Japan
