datetime,open,high,low,close,volume
2026-03-02 09:30:00,618.645,634.775,618.4,629.73,314490.952163
2026-03-02 09:31:00,628.7501,634.6299,628.37,632.6646,168244.074166
2026-03-02 09:32:00,632.9437,637.2598,629,635.3161,156712.457642
2026-03-02 09:33:00,635.607,648.8,634.96,647.245,236868.366951
2026-03-02 09:34:00,647.09,648.6776,643.23,644.9999,176586.863558
2026-03-02 09:35:00,643.23,645.355,639.2001,641.5,151887.297085
2026-03-02 09:36:00,641.485,645.36,639.81,643.665,95383.430244
2026-03-02 09:37:00,644.72,646.1,641.78,644.8,126053.804508
2026-03-02 09:38:00,644.01,645,636.2401,637.8,123519.931229
2026-03-02 09:39:00,638.02,639.99,635.6674,637.7999,72363.95589
2026-03-02 09:40:00,636.3631,637.88,628.22,629.4,118115.69942
2026-03-02 09:41:00,628.67,630.32,620,621,148049.140979
2026-03-02 09:42:00,619.63,622,614.4,614.4,224827.040177
2026-03-02 09:43:00,615.8843,617.3799,612.0801,615.7005,167526.226437
2026-03-02 09:44:00,615,619.6999,614.35,618.855,97067.234019
2026-03-02 09:45:00,618.88,624.82,615.6701,619.5,152220.093046
2026-03-02 09:46:00,619.8127,625,619.01,624.16,68146.807132
2026-03-02 09:47:00,624.135,626.4999,622.4801,625.151,106430.952338
2026-03-02 09:48:00,624.7,626.98,623.41,626.38,74011.063327
2026-03-02 09:49:00,626.77,633.3272,626.39,632.7108,138792.939507
2026-03-02 09:50:00,632.75,634.4,625.97,626.5,115623.599031
2026-03-02 09:51:00,626.12,631.6,626.12,629.04,61007.746954
2026-03-02 09:52:00,629.7999,629.7999,623,627.015,76692.572287
2026-03-02 09:53:00,627.015,632.36,626.1,626.11,75736.948266
2026-03-02 09:54:00,626.73,629.84,626.1001,627.3775,33574.734409
2026-03-02 09:55:00,627,630.5,626.5034,630.5,38932.24456
2026-03-02 09:56:00,630.48,630.72,624.03,626.6324,61991.316422
2026-03-02 09:57:00,627.2342,627.49,624.5801,625.6618,32345.212954
2026-03-02 09:58:00,625.6,627,624.5,625.5,26786.126706
2026-03-02 09:59:00,625.62,627,624.2201,624.86,43601.167228
2026-03-02 10:00:00,624.62,626,620.05,620.9101,83440.41321
2026-03-02 10:01:00,620.77,624.4699,620.57,623.735,64557.321854
2026-03-02 10:02:00,624.47,626.5,620.01,621.49,58586.062654
2026-03-02 10:03:00,622,622.13,619,621.729,67034.67484
2026-03-02 10:04:00,621.95,624.8,620.2272,624.063,40026.011104
2026-03-02 10:05:00,624.07,624.96,620.5,620.5101,54940.365606
2026-03-02 10:06:00,621.045,621.045,617.8478,620.7,77492.412026
2026-03-02 10:07:00,620.7,624.2101,620.0011,622.8,68758.211424
2026-03-02 10:08:00,622.7,623.9,621.305,622,38647.739501
2026-03-02 10:09:00,622.8274,622.8899,620.37,622.435,28684.45664
2026-03-02 10:10:00,622.435,625.45,619.99,624.98,72334.710556
2026-03-02 10:11:00,625.4499,625.49,619.0001,622.3959,63714.323188
2026-03-02 10:12:00,622,622.5999,618.38,619.0001,72945.121026
2026-03-02 10:13:00,619.51,622.5,619.01,621.505,33350.830211
2026-03-02 10:14:00,621.685,621.75,618.15,619,109843.260548
2026-03-02 10:15:00,620.04,621,615.53,616.0745,226091.579961
2026-03-02 10:16:00,616.9,617.6065,611.27,612.7195,164292.73413
2026-03-02 10:17:00,612.9099,612.9099,608.8,609,189742.894281
