Date,Time,Price (est),Volume (rel 0-100),Dir
6/8,9:40 AM,1635,100,up
6/8,9:45 AM,1640,72,up
6/8,9:50 AM,1635,57,down
6/8,10:20 AM,1635,50,up
6/8,10:25 AM,1640,59,up
6/8,10:30 AM,1650,61,up
6/8,10:35 AM,1650,37,down
6/8,10:40 AM,1645,33,down
6/8,10:45 AM,1655,35,up
6/8,10:50 AM,1660,63,up
6/8,10:55 AM,1680,78,up
6/8,11:00 AM,1675,54,down
6/8,11:05 AM,1680,37,up
6/8,11:10 AM,1690,85,up
6/8,11:15 AM,1690,41,up
6/8,11:20 AM,1680,35,down
6/8,11:25 AM,1665,39,down
6/8,11:30 AM,1660,30,down
6/8,11:35 AM,1670,35,up
6/8,11:40 AM,1675,33,up
6/8,11:45 AM,1665,26,down
6/8,11:50 AM,1665,15,up
6/8,11:55 AM,1665,13,down
6/8,12:00 PM,1660,17,down
6/8,12:05 PM,1660,11,down
6/8,12:10 PM,1655,17,down
6/8,12:15 PM,1660,9,up
6/8,12:20 PM,1650,46,down
6/8,12:25 PM,1645,20,down
6/8,12:30 PM,1650,13,up
6/8,12:35 PM,1650,20,down
6/8,12:40 PM,1650,13,down
6/8,12:45 PM,1650,7,down
6/8,12:50 PM,1650,9,up
6/8,12:55 PM,1645,17,down
6/8,1:00 PM,1635,28,down
6/8,1:05 PM,1635,17,down
6/8,1:20 PM,1630,11,down
6/8,1:25 PM,1635,20,up
6/8,2:00 PM,1630,9,up
6/8,2:05 PM,1635,22,up
6/8,2:10 PM,1635,20,down
6/8,2:15 PM,1640,13,up
6/8,2:20 PM,1640,15,up
6/8,2:25 PM,1640,20,up
6/8,2:30 PM,1645,20,up
6/8,2:35 PM,1635,17,down
6/8,2:40 PM,1635,15,down
6/8,2:45 PM,1635,7,up
6/8,2:50 PM,1640,7,up
6/8,2:55 PM,1635,7,down
6/8,3:00 PM,1635,15,down
6/8,3:30 PM,1635,28,up
6/8,3:35 PM,1630,20,down
6/8,3:50 PM,1640,43,up
6/9,9:25 AM,1650,21,down
6/9,9:30 AM,1705,85,up
6/9,9:35 AM,1725,39,up
6/9,9:40 AM,1750,34,up
6/9,9:45 AM,1780,43,up
6/9,9:50 AM,1770,35,down
6/9,9:55 AM,1760,26,down
6/9,10:00 AM,1785,36,up
6/9,10:05 AM,1775,46,down
6/9,10:10 AM,1760,27,down
6/9,10:15 AM,1750,40,down
6/9,10:20 AM,1760,25,up
6/9,10:25 AM,1745,21,down
6/9,10:30 AM,1745,21,up
6/9,10:35 AM,1735,10,down
6/9,10:40 AM,1715,17,down
6/9,10:45 AM,1690,34,down
6/9,10:50 AM,1720,23,up
6/9,10:55 AM,1715,17,down
6/9,11:00 AM,1720,14,up
6/9,11:05 AM,1740,17,up
6/9,11:10 AM,1745,21,up
6/9,11:15 AM,1735,13,down
6/9,11:20 AM,1705,14,down
6/9,11:25 AM,1685,24,down
6/9,11:30 AM,1680,22,down
6/9,11:35 AM,1680,23,up
6/9,11:40 AM,1680,14,down
6/9,11:45 AM,1685,7,up
6/9,11:50 AM,1675,12,down
6/9,11:55 AM,1640,25,down
6/9,12:00 PM,1640,16,up
6/9,12:05 PM,1615,25,down
6/9,12:10 PM,1605,16,down
6/9,12:15 PM,1590,21,down
6/9,12:20 PM,1585,22,down
6/9,12:25 PM,1580,14,down
6/9,12:30 PM,1570,16,down
6/9,12:40 PM,1575,14,up
6/9,12:45 PM,1575,15,up
6/9,12:55 PM,1590,13,up
6/9,1:00 PM,1620,24,up
6/9,1:05 PM,1620,16,down
6/9,1:10 PM,1630,13,up
6/9,1:15 PM,1645,19,up
6/9,1:20 PM,1645,23,down
6/9,1:25 PM,1645,14,up
6/9,1:30 PM,1645,10,up
6/9,1:35 PM,1660,17,up
6/9,1:40 PM,1650,17,down
6/9,1:45 PM,1620,21,down
6/9,1:50 PM,1635,12,up
6/9,1:55 PM,1635,7,up
6/9,2:00 PM,1625,8,down
6/9,2:05 PM,1635,6,up
6/9,2:10 PM,1645,7,up
6/9,2:15 PM,1650,7,up
6/9,2:20 PM,1660,9,up
6/9,2:25 PM,1660,7,up
6/9,2:30 PM,1665,9,up
6/9,2:35 PM,1665,6,down
6/9,2:40 PM,1655,8,down
6/9,2:45 PM,1660,6,up
6/9,2:50 PM,1660,6,down
6/9,2:55 PM,1675,10,up
6/9,3:00 PM,1685,9,up
6/9,3:05 PM,1670,9,down
6/9,3:10 PM,1665,7,down
6/9,3:15 PM,1635,14,down
6/9,3:20 PM,1635,13,up
6/9,3:25 PM,1640,10,up
6/9,3:30 PM,1640,10,down
6/9,3:35 PM,1620,14,down
6/9,3:40 PM,1625,18,up
6/9,3:45 PM,1635,9,up
6/9,3:50 PM,1640,12,up
6/9,3:55 PM,1645,23,up
6/9,4:00 PM,1605,100,down
6/10,9:25 AM,1630,20,up
6/10,9:30 AM,1595,86,down
6/10,9:35 AM,1625,22,up
6/10,9:40 AM,1665,20,up
6/10,9:45 AM,1720,40,up
6/10,9:50 AM,1700,29,down
6/10,9:55 AM,1680,20,down
6/10,10:00 AM,1680,17,up
6/10,10:05 AM,1710,17,up
6/10,10:10 AM,1715,24,up
6/10,10:15 AM,1720,17,up
6/10,10:20 AM,1745,25,up
6/10,10:25 AM,1750,26,up
6/10,10:30 AM,1760,18,up
6/10,10:35 AM,1740,19,down
6/10,10:40 AM,1730,7,down
6/10,10:45 AM,1720,13,down
6/10,10:50 AM,1725,10,up
6/10,10:55 AM,1700,19,down
6/10,11:00 AM,1695,15,down
6/10,11:05 AM,1690,11,down
6/10,11:10 AM,1675,18,down
6/10,11:15 AM,1670,13,down
6/10,11:20 AM,1680,13,up
6/10,11:25 AM,1670,11,down
6/10,11:30 AM,1660,11,down
6/10,11:35 AM,1655,8,down
6/10,11:40 AM,1670,7,up
6/10,11:45 AM,1650,11,down
6/10,11:50 AM,1665,14,up
6/10,11:55 AM,1680,11,up
6/10,12:00 PM,1680,8,down
6/10,12:05 PM,1670,7,down
6/10,12:10 PM,1660,8,down
6/10,12:15 PM,1655,3,down
6/10,12:20 PM,1655,4,down
6/10,12:25 PM,1655,3,up
6/10,12:30 PM,1665,6,up
6/10,12:35 PM,1670,5,up
6/10,12:40 PM,1655,4,down
6/10,12:45 PM,1650,5,down
6/10,12:50 PM,1650,3,up
6/10,12:55 PM,1650,3,down
6/10,1:00 PM,1655,3,up
6/10,1:05 PM,1645,4,down
6/10,1:10 PM,1640,3,down
6/10,1:15 PM,1640,2,up
6/10,1:20 PM,1645,2,up
6/10,1:25 PM,1645,1,down
6/10,1:30 PM,1650,2,up
6/10,1:35 PM,1645,3,down
6/10,1:40 PM,1645,1,down
6/10,1:45 PM,1665,8,up
6/10,1:50 PM,1665,5,down
6/10,1:55 PM,1670,7,up
6/10,2:00 PM,1680,7,up
6/10,2:05 PM,1675,4,down
6/10,2:10 PM,1680,4,up
6/10,2:15 PM,1675,5,down
6/10,2:20 PM,1675,3,up
6/10,2:25 PM,1670,3,down
6/10,2:30 PM,1660,6,down
6/10,2:35 PM,1655,4,down
6/10,2:40 PM,1655,4,down
6/10,2:45 PM,1655,3,down
6/10,2:50 PM,1645,5,down
6/10,2:55 PM,1645,4,up
6/10,3:00 PM,1655,5,up
6/10,3:05 PM,1655,4,up
6/10,3:10 PM,1645,4,down
6/10,3:15 PM,1635,6,down
6/10,3:20 PM,1630,6,down
6/10,3:25 PM,1640,4,up
6/10,3:30 PM,1645,6,up
6/10,3:35 PM,1655,7,up
6/10,3:40 PM,1645,5,down
6/10,3:45 PM,1640,5,down
6/10,3:50 PM,1645,6,up
6/10,3:55 PM,1640,11,down
6/10,4:00 PM,1690,100,up
